latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,8.543372,442.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day ()
2024-01-01T00:00,1.7,89,-1.5,0.00,0,7.1,0.0,0
2024-01-01T01:00,3.1,82,-0.9,0.00,0,13.2,0.0,0
2024-01-01T02:00,3.4,80,-0.8,0.00,14,14.4,0.0,0
2024-01-01T03:00,2.7,83,-0.8,0.00,82,9.7,0.0,0
2024-01-01T04:00,3.8,75,-0.4,0.00,59,14.0,0.0,0
2024-01-01T05:00,4.1,75,-0.6,0.00,31,17.5,0.0,0
2024-01-01T06:00,3.8,78,-0.9,0.20,33,18.2,0.0,0
2024-01-01T07:00,3.8,77,-0.8,0.00,14,17.1,0.0,0
2024-01-01T08:00,3.9,75,-0.9,0.00,2,18.1,0.0,0
2024-01-01T09:00,3.6,74,-0.9,0.00,14,15.9,0.0,0
2024-01-01T10:00,4.0,72,-0.4,0.00,32,14.5,18.0,1
2024-01-01T11:00,5.2,69,1.0,0.00,40,13.7,108.0,1
2024-01-01T12:00,6.3,63,2.5,0.00,30,11.0,200.0,1
2024-01-01T13:00,7.2,63,3.8,0.00,52,9.9,276.0,1
2024-01-01T14:00,7.7,61,4.3,0.00,49,10.0,277.0,1
2024-01-01T15:00,7.5,63,3.4,0.10,100,14.6,186.0,1
2024-01-01T16:00,6.8,70,3.3,0.00,100,11.5,62.0,1
2024-01-01T17:00,6.4,72,3.0,0.00,100,10.8,44.0,1
2024-01-01T18:00,5.7,76,2.4,0.10,64,9.6,7.0,0
2024-01-01T19:00,3.8,85,0.9,0.00,48,7.2,0.0,0
2024-01-01T20:00,2.6,87,-0.3,0.00,33,6.4,0.0,0
2024-01-01T21:00,1.8,88,-1.4,0.00,30,7.1,0.0,0
2024-01-01T22:00,1.1,91,-2.1,0.00,36,7.2,0.0,0
2024-01-01T23:00,0.9,94,-2.1,0.00,65,6.1,0.0,0
2024-01-02T00:00,0.4,97,-2.5,0.00,32,5.8,0.0,0
2024-01-02T01:00,0.2,100,-2.7,0.00,37,5.4,0.0,0
2024-01-02T02:00,0.6,99,-2.3,0.00,90,5.8,0.0,0
2024-01-02T03:00,0.4,94,-2.6,0.00,89,6.1,0.0,0
2024-01-02T04:00,0.6,93,-2.3,0.00,90,5.2,0.0,0
2024-01-02T05:00,1.3,92,-1.5,0.00,90,4.3,0.0,0
2024-01-02T06:00,2.5,81,-0.9,0.10,92,8.3,0.0,0
2024-01-02T07:00,2.9,78,-0.4,0.10,99,7.7,0.0,0
2024-01-02T08:00,2.9,80,0.1,0.10,100,4.8,0.0,0
2024-01-02T09:00,3.7,77,0.4,0.10,100,7.6,0.0,0
2024-01-02T10:00,4.4,76,0.7,0.10,100,11.4,4.0,1
2024-01-02T11:00,5.4,75,1.8,0.00,94,11.2,21.0,1
2024-01-02T12:00,6.3,76,2.2,0.00,100,16.6,33.0,1
2024-01-02T13:00,7.2,74,3.2,0.10,95,16.1,80.0,1
2024-01-02T14:00,7.0,75,3.6,0.00,96,11.7,29.0,1
2024-01-02T15:00,7.8,80,4.4,0.20,96,14.8,135.0,1
2024-01-02T16:00,7.5,84,3.7,0.30,95,17.8,34.0,1
2024-01-02T17:00,7.4,84,4.0,0.60,100,15.3,13.0,1
2024-01-02T18:00,7.4,85,3.5,0.80,100,18.3,2.0,0
2024-01-02T19:00,7.5,84,3.9,0.90,100,16.3,0.0,0
2024-01-02T20:00,6.9,85,4.2,1.00,94,9.4,0.0,0
2024-01-02T21:00,6.2,86,3.9,0.20,92,5.7,0.0,0
2024-01-02T22:00,5.9,87,3.7,0.20,100,5.1,0.0,0
2024-01-02T23:00,6.4,86,4.0,0.30,100,6.9,0.0,0
2024-01-03T00:00,7.9,80,4.1,0.00,86,17.3,0.0,0
2024-01-03T01:00,8.8,77,4.9,0.00,65,18.8,0.0,0
2024-01-03T02:00,9.7,72,4.7,0.70,50,26.2,0.0,0
2024-01-03T03:00,9.1,77,3.7,0.00,11,29.6,0.0,0
2024-01-03T04:00,9.0,75,4.2,0.00,19,24.5,0.0,0
2024-01-03T05:00,9.1,70,4.8,0.00,31,19.8,0.0,0
2024-01-03T06:00,8.5,71,4.3,0.00,36,18.4,0.0,0
2024-01-03T07:00,8.6,73,2.9,0.00,31,29.8,0.0,0
2024-01-03T08:00,8.9,70,3.1,0.00,6,29.7,0.0,0
2024-01-03T09:00,8.6,66,3.1,0.00,13,25.9,0.0,0
2024-01-03T10:00,8.8,63,3.4,0.00,37,24.7,19.0,1
2024-01-03T11:00,10.2,55,4.6,0.00,51,25.3,93.0,1
2024-01-03T12:00,11.1,51,5.9,0.00,100,23.1,137.0,1
2024-01-03T13:00,11.8,51,7.1,0.00,100,20.0,181.0,1
2024-01-03T14:00,12.1,52,7.3,0.00,100,20.9,245.0,1
2024-01-03T15:00,12.4,50,7.9,0.00,29,18.9,183.0,1
2024-01-03T16:00,12.2,51,7.2,0.00,68,22.9,181.0,1
2024-01-03T17:00,11.4,55,6.6,0.10,51,21.2,28.0,1
2024-01-03T18:00,11.5,51,5.9,0.00,30,26.1,8.0,0
2024-01-03T19:00,11.5,45,5.5,0.00,100,26.8,0.0,0
2024-01-03T20:00,10.5,53,4.8,2.20,75,26.4,0.0,0
2024-01-03T21:00,8.8,68,2.6,0.10,75,32.0,0.0,0
2024-01-03T22:00,8.0,77,2.5,0.10,100,28.4,0.0,0
2024-01-03T23:00,7.9,79,2.3,0.00,92,28.8,0.0,0
2024-01-04T00:00,7.8,79,2.6,0.10,100,26.7,0.0,0
2024-01-04T01:00,7.5,81,2.2,1.00,100,27.1,0.0,0
2024-01-04T02:00,7.0,84,1.8,0.80,100,26.2,0.0,0
2024-01-04T03:00,6.9,81,1.8,0.10,100,25.1,0.0,0
2024-01-04T04:00,6.8,80,1.4,0.10,32,26.7,0.0,0
2024-01-04T05:00,6.8,79,1.5,0.10,80,26.3,0.0,0
2024-01-04T06:00,6.6,83,1.6,0.80,100,24.5,0.0,0
2024-01-04T07:00,6.6,82,1.8,0.30,100,22.7,0.0,0
2024-01-04T08:00,6.7,81,1.8,0.00,47,23.3,0.0,0
2024-01-04T09:00,6.3,81,1.6,0.20,92,21.4,0.0,0
2024-01-04T10:00,6.0,82,1.4,0.10,50,21.2,13.0,1
2024-01-04T11:00,7.0,77,2.1,0.00,38,22.5,89.0,1
2024-01-04T12:00,7.8,72,2.9,0.00,49,22.8,166.0,1
2024-01-04T13:00,8.4,68,3.3,0.00,13,23.7,234.0,1
2024-01-04T14:00,8.9,63,3.6,0.00,8,24.0,287.0,1
2024-01-04T15:00,9.0,67,4.7,0.00,31,18.7,254.0,1
2024-01-04T16:00,8.8,67,4.9,0.00,19,16.3,203.0,1
2024-01-04T17:00,8.1,67,4.7,0.00,60,11.7,119.0,1
2024-01-04T18:00,5.3,79,2.5,0.00,39,6.4,18.0,0
2024-01-04T19:00,4.2,83,1.5,0.00,35,5.8,0.0,0
2024-01-04T20:00,3.3,88,0.6,0.00,31,5.6,0.0,0
2024-01-04T21:00,2.4,94,-0.4,0.00,31,6.3,0.0,0
2024-01-04T22:00,1.9,96,-1.0,0.00,37,7.1,0.0,0
2024-01-04T23:00,1.4,98,-1.5,0.00,34,6.1,0.0,0
2024-01-05T00:00,1.4,97,-1.5,0.00,59,6.1,0.0,0
2024-01-05T01:00,2.5,93,-0.1,0.00,48,5.3,0.0,0
2024-01-05T02:00,2.4,94,0.3,0.00,57,1.6,0.0,0
2024-01-05T03:00,1.8,96,-0.7,0.00,90,4.0,0.0,0
2024-01-05T04:00,2.1,96,-0.4,0.00,90,4.5,0.0,0
2024-01-05T05:00,2.2,96,-0.1,0.00,90,3.3,0.0,0
2024-01-05T06:00,2.7,95,0.3,0.00,90,4.1,0.0,0
2024-01-05T07:00,2.8,94,0.5,0.00,99,3.7,0.0,0
2024-01-05T08:00,2.6,97,0.5,0.00,90,2.6,0.0,0
2024-01-05T09:00,2.9,95,0.6,0.00,90,4.2,0.0,0
2024-01-05T10:00,3.2,93,1.0,0.00,90,3.2,8.0,1
2024-01-05T11:00,4.6,86,2.6,0.00,90,2.0,57.0,1
2024-01-05T12:00,5.5,83,3.9,0.00,90,0.0,102.0,1
2024-01-05T13:00,6.3,80,4.7,0.10,90,0.0,121.0,1
2024-01-05T14:00,6.3,82,4.3,0.10,92,3.7,72.0,1
2024-01-05T15:00,6.7,84,5.0,0.40,93,2.4,62.0,1
2024-01-05T16:00,6.7,88,5.1,0.30,94,2.4,68.0,1
2024-01-05T17:00,6.0,93,4.3,0.30,90,3.0,40.0,1
2024-01-05T18:00,6.2,88,4.4,0.20,100,2.9,11.0,0
2024-01-05T19:00,4.6,96,2.5,0.10,100,5.1,0.0,0
2024-01-05T20:00,4.4,96,2.2,0.10,100,5.1,0.0,0
2024-01-05T21:00,5.0,92,2.9,0.10,100,4.3,0.0,0
2024-01-05T22:00,5.1,91,3.2,0.10,100,2.7,0.0,0
2024-01-05T23:00,5.0,92,3.3,0.40,100,1.5,0.0,0
2024-01-06T00:00,4.6,95,2.8,0.50,100,2.2,0.0,0
2024-01-06T01:00,4.1,98,2.2,0.90,100,3.3,0.0,0
2024-01-06T02:00,4.1,96,2.2,0.90,100,2.5,0.0,0
2024-01-06T03:00,3.2,96,0.9,1.40,100,4.6,0.0,0
2024-01-06T04:00,3.0,96,0.8,1.10,100,3.4,0.0,0
2024-01-06T05:00,2.3,99,-0.2,1.20,100,5.1,0.0,0
2024-01-06T06:00,1.9,99,-0.8,1.20,100,6.0,0.0,0
2024-01-06T07:00,1.8,99,-0.9,0.90,100,5.8,0.0,0
2024-01-06T08:00,1.8,99,-0.7,1.00,100,4.7,0.0,0
2024-01-06T09:00,2.0,97,-0.3,0.60,100,2.9,0.0,0
2024-01-06T10:00,2.3,96,0.1,0.40,100,2.4,6.0,1
2024-01-06T11:00,2.3,97,0.1,0.50,100,2.3,20.0,1
2024-01-06T12:00,2.5,97,0.5,0.40,100,1.6,41.0,1
2024-01-06T13:00,3.3,94,1.3,0.20,100,2.2,113.0,1
2024-01-06T14:00,3.6,93,1.8,0.30,100,0.7,64.0,1
2024-01-06T15:00,4.7,80,1.9,0.20,100,6.0,99.0,1
2024-01-06T16:00,4.3,84,1.4,0.20,100,7.7,51.0,1
2024-01-06T17:00,4.0,89,1.6,0.20,100,4.5,45.0,1
2024-01-06T18:00,4.1,81,1.9,0.10,100,1.6,5.0,0
2024-01-06T19:00,3.7,85,1.7,0.30,100,1.1,0.0,0
2024-01-06T20:00,3.2,91,1.2,0.70,100,0.8,0.0,0
2024-01-06T21:00,2.2,93,-0.1,0.70,100,2.5,0.0,0
2024-01-06T22:00,1.4,99,-0.7,0.60,100,1.5,0.0,0
2024-01-06T23:00,1.3,100,-0.9,0.60,100,1.8,0.0,0
2024-01-07T00:00,1.4,100,-1.0,0.60,100,2.9,0.0,0
2024-01-07T01:00,1.4,100,-1.2,0.40,100,4.6,0.0,0
2024-01-07T02:00,1.3,100,-1.4,0.40,100,5.4,0.0,0
2024-01-07T03:00,1.3,99,-1.6,0.30,100,6.4,0.0,0
2024-01-07T04:00,1.5,99,-1.6,0.20,100,8.4,0.0,0
2024-01-07T05:00,1.5,100,-1.6,0.30,100,8.0,0.0,0
2024-01-07T06:00,1.4,100,-1.6,0.40,100,7.6,0.0,0
2024-01-07T07:00,1.5,99,-1.3,0.30,100,6.7,0.0,0
2024-01-07T08:00,1.5,99,-1.3,0.30,100,6.2,0.0,0
2024-01-07T09:00,1.3,100,-1.6,0.40,100,7.0,0.0,0
2024-01-07T10:00,1.2,100,-1.8,0.30,100,7.4,3.0,1
2024-01-07T11:00,1.4,100,-1.8,0.40,100,8.6,13.0,1
2024-01-07T12:00,2.2,96,-1.2,0.20,100,11.0,27.0,1
2024-01-07T13:00,2.9,94,-0.5,0.10,100,11.3,71.0,1
2024-01-07T14:00,3.0,92,-0.6,0.20,100,11.8,78.0,1
2024-01-07T15:00,2.3,93,-1.4,0.20,100,12.5,54.0,1
2024-01-07T16:00,2.1,94,-1.5,0.30,100,11.5,49.0,1
2024-01-07T17:00,1.9,94,-1.6,0.30,100,10.7,26.0,1
2024-01-07T18:00,1.6,94,-2.2,0.30,100,12.3,4.0,0
2024-01-07T19:00,1.4,95,-2.4,0.30,100,12.6,0.0,0
2024-01-07T20:00,1.1,91,-3.3,0.30,100,15.3,0.0,0
2024-01-07T21:00,0.6,89,-4.0,0.20,100,15.6,0.0,0
2024-01-07T22:00,0.1,88,-4.5,0.20,100,15.6,0.0,0
2024-01-07T23:00,-0.1,87,-4.8,0.10,100,15.2,0.0,0
2024-01-08T00:00,-0.4,86,-4.9,0.10,100,14.5,0.0,0
2024-01-08T01:00,-0.6,86,-5.4,0.10,100,16.2,0.0,0
2024-01-08T02:00,-0.9,85,-5.9,0.00,100,17.0,0.0,0
2024-01-08T03:00,-1.1,82,-6.4,0.30,100,18.4,0.0,0
2024-01-08T04:00,-1.6,80,-6.9,0.00,100,17.4,0.0,0
2024-01-08T05:00,-2.1,79,-7.4,0.10,100,17.6,0.0,0
2024-01-08T06:00,-2.3,79,-7.7,0.10,100,17.7,0.0,0
2024-01-08T07:00,-2.4,77,-7.9,0.10,100,17.6,0.0,0
2024-01-08T08:00,-2.7,77,-8.4,0.00,100,18.6,0.0,0
2024-01-08T09:00,-3.0,75,-8.7,0.00,100,19.1,0.0,0
2024-01-08T10:00,-2.9,74,-8.8,0.00,100,19.9,8.0,1
2024-01-08T11:00,-2.6,74,-8.5,0.00,100,20.2,38.0,1
2024-01-08T12:00,-2.2,72,-8.2,0.00,100,20.8,64.0,1
2024-01-08T13:00,-1.9,71,-7.9,0.00,100,21.0,96.0,1
2024-01-08T14:00,-1.7,70,-7.7,0.00,100,20.7,107.0,1
2024-01-08T15:00,-2.1,74,-7.8,0.00,100,19.3,86.0,1
2024-01-08T16:00,-2.0,73,-7.7,0.00,100,19.0,68.0,1
2024-01-08T17:00,-1.9,73,-7.6,0.00,100,19.1,40.0,1
2024-01-08T18:00,-1.9,74,-7.6,0.00,100,18.9,8.0,0
2024-01-08T19:00,-1.8,74,-7.5,0.00,99,19.1,0.0,0
2024-01-08T20:00,-1.8,74,-7.4,0.00,93,19.1,0.0,0
2024-01-08T21:00,-1.7,74,-7.3,0.00,89,18.5,0.0,0
2024-01-08T22:00,-1.6,73,-7.1,0.00,91,17.6,0.0,0
2024-01-08T23:00,-1.7,74,-7.0,0.00,84,16.7,0.0,0
2024-01-09T00:00,-1.8,74,-7.2,0.00,89,17.0,0.0,0
2024-01-09T01:00,-2.0,75,-7.4,0.00,90,17.4,0.0,0
2024-01-09T02:00,-2.2,75,-7.5,0.00,90,16.6,0.0,0
2024-01-09T03:00,-1.8,77,-6.6,0.00,100,13.9,0.0,0
2024-01-09T04:00,-2.1,78,-7.0,0.00,100,14.1,0.0,0
2024-01-09T05:00,-2.3,77,-7.2,0.00,100,13.5,0.0,0
2024-01-09T06:00,-2.5,76,-7.3,0.00,100,13.0,0.0,0
2024-01-09T07:00,-2.8,75,-7.5,0.00,100,12.5,0.0,0
2024-01-09T08:00,-2.9,75,-7.9,0.00,97,13.5,0.0,0
2024-01-09T09:00,-3.1,76,-8.0,0.00,94,13.2,0.0,0
2024-01-09T10:00,-3.0,76,-7.8,0.00,94,12.8,8.0,1
2024-01-09T11:00,-2.7,75,-7.5,0.00,91,13.0,54.0,1
2024-01-09T12:00,-2.2,73,-7.0,0.00,90,13.2,96.0,1
2024-01-09T13:00,-1.6,71,-6.3,0.00,84,12.0,140.0,1
2024-01-09T14:00,-1.2,69,-5.8,0.00,81,11.2,164.0,1
2024-01-09T15:00,-2.6,70,-7.3,0.00,100,11.8,125.0,1
2024-01-09T16:00,-2.6,70,-7.0,0.00,100,9.6,114.0,1
2024-01-09T17:00,-2.8,71,-7.2,0.00,100,9.0,63.0,1
2024-01-09T18:00,-3.1,73,-7.4,0.00,100,8.4,12.0,0
2024-01-09T19:00,-3.4,74,-7.5,0.00,100,7.6,0.0,0
2024-01-09T20:00,-3.5,76,-7.3,0.00,100,6.0,0.0,0
2024-01-09T21:00,-3.4,77,-7.2,0.00,100,5.5,0.0,0
2024-01-09T22:00,-3.4,79,-7.0,0.00,100,4.9,0.0,0
2024-01-09T23:00,-3.5,81,-7.1,0.10,100,4.9,0.0,0
2024-01-10T00:00,-3.4,82,-7.1,0.20,100,5.4,0.0,0
2024-01-10T01:00,-3.3,83,-6.9,0.40,100,5.0,0.0,0
2024-01-10T02:00,-3.4,86,-6.9,0.70,100,4.8,0.0,0
2024-01-10T03:00,-3.2,82,-6.6,0.30,90,3.6,0.0,0
2024-01-10T04:00,-3.2,84,-6.7,0.30,100,4.7,0.0,0
2024-01-10T05:00,-3.4,85,-6.9,0.10,81,4.7,0.0,0
2024-01-10T06:00,-3.7,88,-7.2,0.00,86,4.5,0.0,0
2024-01-10T07:00,-4.1,93,-7.2,0.00,65,2.5,0.0,0
2024-01-10T08:00,-4.3,95,-7.5,0.00,45,2.5,0.0,0
2024-01-10T09:00,-4.6,97,-7.8,0.00,45,2.5,0.0,0
2024-01-10T10:00,-3.9,97,-7.3,0.00,56,4.7,18.0,1
2024-01-10T11:00,-2.2,81,-5.6,0.00,71,4.1,103.0,1
2024-01-10T12:00,-0.9,74,-4.3,0.00,56,4.4,189.0,1
2024-01-10T13:00,0.4,69,-3.0,0.00,39,4.7,278.0,1
2024-01-10T14:00,1.6,65,-1.9,0.00,35,5.3,304.0,1
2024-01-10T15:00,0.0,75,-3.5,0.00,94,6.1,254.0,1
2024-01-10T16:00,0.3,76,-3.1,0.00,58,5.9,204.0,1
2024-01-10T17:00,-0.1,81,-3.5,0.00,27,5.8,120.0,1
2024-01-10T18:00,-2.3,90,-5.6,0.00,43,4.6,23.0,0
2024-01-10T19:00,-2.3,93,-5.5,0.00,48,4.7,0.0,0
2024-01-10T20:00,-2.5,95,-5.7,0.00,65,4.3,0.0,0
2024-01-10T21:00,-3.0,96,-6.2,0.00,48,3.6,0.0,0
2024-01-10T22:00,-3.3,97,-6.5,0.00,41,3.8,0.0,0
2024-01-10T23:00,-3.4,98,-6.7,0.00,52,4.8,0.0,0
2024-01-11T00:00,-3.2,96,-6.5,0.00,94,4.9,0.0,0
2024-01-11T01:00,-2.9,96,-6.2,0.00,99,5.2,0.0,0
2024-01-11T02:00,-2.6,96,-5.9,0.00,94,5.0,0.0,0
2024-01-11T03:00,-2.9,95,-6.1,0.00,93,4.0,0.0,0
2024-01-11T04:00,-2.8,96,-5.9,0.00,95,3.8,0.0,0
2024-01-11T05:00,-2.5,96,-5.5,0.00,94,2.8,0.0,0
2024-01-11T06:00,-2.4,95,-5.4,0.00,90,2.5,0.0,0
2024-01-11T07:00,-2.3,94,-5.3,0.00,90,3.5,0.0,0
2024-01-11T08:00,-2.3,93,-5.7,0.00,90,5.7,0.0,0
2024-01-11T09:00,-2.5,94,-6.2,0.00,90,7.7,0.0,0
2024-01-11T10:00,-2.5,92,-6.3,0.00,90,7.8,7.0,1
2024-01-11T11:00,-2.2,89,-6.0,0.00,90,7.5,37.0,1
2024-01-11T12:00,-1.7,84,-5.5,0.00,90,8.0,81.0,1
2024-01-11T13:00,-0.9,78,-5.0,0.00,84,9.7,127.0,1
2024-01-11T14:00,-0.0,71,-4.2,0.00,51,9.7,166.0,1
2024-01-11T15:00,-1.1,78,-4.9,0.00,89,7.6,164.0,1
2024-01-11T16:00,-0.7,75,-4.8,0.00,84,9.4,132.0,1
2024-01-11T17:00,-0.7,76,-4.1,0.00,54,4.8,76.0,1
2024-01-11T18:00,-2.3,85,-5.6,0.00,22,4.0,23.0,0
2024-01-11T19:00,-2.8,92,-6.1,0.00,16,4.6,0.0,0
2024-01-11T20:00,-3.6,91,-6.9,0.00,20,4.2,0.0,0
2024-01-11T21:00,-4.0,92,-7.3,0.00,34,3.8,0.0,0
2024-01-11T22:00,-3.9,93,-7.2,0.00,47,3.8,0.0,0
2024-01-11T23:00,-4.1,94,-7.4,0.00,40,4.1,0.0,0
2024-01-12T00:00,-4.4,94,-7.6,0.00,57,3.1,0.0,0
2024-01-12T01:00,-4.3,95,-7.5,0.00,64,2.9,0.0,0
2024-01-12T02:00,-4.2,95,-7.5,0.00,50,3.4,0.0,0
2024-01-12T03:00,-3.8,95,-7.2,0.00,90,4.7,0.0,0
2024-01-12T04:00,-3.7,95,-7.2,0.00,90,5.2,0.0,0
2024-01-12T05:00,-3.5,94,-6.9,0.00,90,4.6,0.0,0
2024-01-12T06:00,-3.5,95,-6.6,0.00,90,3.1,0.0,0
2024-01-12T07:00,-3.4,95,-6.5,0.00,90,3.1,0.0,0
2024-01-12T08:00,-3.3,95,-6.5,0.00,90,3.6,0.0,0
2024-01-12T09:00,-3.4,96,-6.7,0.00,90,4.4,0.0,0
2024-01-12T10:00,-3.2,94,-6.4,0.00,90,4.1,11.0,1
2024-01-12T11:00,-2.5,90,-5.8,0.00,90,4.1,55.0,1
2024-01-12T12:00,-1.3,82,-4.8,0.00,90,5.4,132.0,1
2024-01-12T13:00,0.1,73,-3.4,0.00,60,5.9,219.0,1
2024-01-12T14:00,1.2,72,-2.4,0.00,20,6.8,286.0,1
2024-01-12T15:00,0.1,72,-3.2,0.00,61,3.9,220.0,1
2024-01-12T16:00,0.4,70,-2.8,0.00,5,3.2,192.0,1
2024-01-12T17:00,-0.6,76,-3.7,0.00,15,3.1,135.0,1
2024-01-12T18:00,-0.3,76,-3.6,0.00,15,4.2,32.0,0
2024-01-12T19:00,-1.1,82,-4.4,0.00,2,4.6,0.0,0
2024-01-12T20:00,-1.8,88,-4.9,0.00,1,3.1,0.0,0
2024-01-12T21:00,-4.9,98,-8.5,0.00,2,5.1,0.0,0
2024-01-12T22:00,-5.3,97,-8.9,0.00,86,5.2,0.0,0
2024-01-12T23:00,-3.6,100,-6.5,0.00,90,2.1,0.0,0
2024-01-13T00:00,-5.1,98,-8.3,0.00,86,2.9,0.0,0
2024-01-13T01:00,-5.1,98,-8.4,0.00,90,3.3,0.0,0
2024-01-13T02:00,-6.0,97,-9.5,0.00,89,3.4,0.0,0
2024-01-13T03:00,-3.5,98,-6.7,0.00,90,4.0,0.0,0
2024-01-13T04:00,-3.2,97,-6.3,0.00,90,3.4,0.0,0
2024-01-13T05:00,-3.1,97,-6.1,0.00,90,2.5,0.0,0
2024-01-13T06:00,-3.2,98,-6.1,0.00,90,2.5,0.0,0
2024-01-13T07:00,-3.3,98,-6.5,0.00,90,3.7,0.0,0
2024-01-13T08:00,-3.5,98,-6.9,0.00,90,4.7,0.0,0
2024-01-13T09:00,-3.9,98,-7.3,0.00,90,4.7,0.0,0
2024-01-13T10:00,-3.8,96,-6.7,0.00,90,1.8,12.0,1
2024-01-13T11:00,-3.1,97,-6.1,0.00,90,2.6,66.0,1
2024-01-13T12:00,-1.8,94,-4.8,0.00,90,3.2,170.0,1
2024-01-13T13:00,-0.4,86,-3.4,0.00,76,3.9,291.0,1
2024-01-13T14:00,0.9,78,-1.9,0.00,25,2.0,324.0,1
2024-01-13T15:00,0.3,69,-2.9,0.00,4,2.6,270.0,1
2024-01-13T16:00,0.7,66,-2.6,0.00,4,3.6,235.0,1
2024-01-13T17:00,-0.0,71,-3.2,0.00,2,3.1,150.0,1
2024-01-13T18:00,-3.5,83,-7.5,0.00,2,8.0,36.0,0
2024-01-13T19:00,-2.8,87,-6.4,0.00,9,6.3,0.0,0
2024-01-13T20:00,-1.0,93,-3.9,0.00,3,3.3,0.0,0
2024-01-13T21:00,-1.8,100,-4.7,0.00,87,3.4,0.0,0
2024-01-13T22:00,-5.2,100,-8.9,0.00,90,6.0,0.0,0
2024-01-13T23:00,-5.0,100,-8.6,0.00,89,5.5,0.0,0
2024-01-14T00:00,-5.4,99,-9.1,0.00,89,6.0,0.0,0
2024-01-14T01:00,-3.9,100,-7.2,0.00,89,3.9,0.0,0
2024-01-14T02:00,-3.0,100,-5.9,0.00,90,1.9,0.0,0
2024-01-14T03:00,-4.0,99,-7.1,0.00,90,3.0,0.0,0
2024-01-14T04:00,-3.2,99,-6.2,0.00,89,2.8,0.0,0
2024-01-14T05:00,-3.3,99,-6.3,0.00,89,2.8,0.0,0
2024-01-14T06:00,-3.8,98,-7.0,0.00,79,3.3,0.0,0
2024-01-14T07:00,-3.5,96,-6.6,0.00,76,2.9,0.0,0
2024-01-14T08:00,-3.7,99,-6.9,0.00,91,3.6,0.0,0
2024-01-14T09:00,-2.3,100,-4.9,0.00,100,1.5,0.0,0
2024-01-14T10:00,-2.5,100,-5.1,0.00,100,0.7,24.0,1
2024-01-14T11:00,-0.6,95,-3.3,0.00,64,2.9,121.0,1
2024-01-14T12:00,1.8,78,-1.0,0.00,10,3.2,240.0,1
2024-01-14T13:00,3.5,69,0.6,0.00,0,3.1,327.0,1
2024-01-14T14:00,4.6,59,1.6,0.00,2,3.5,355.0,1
2024-01-14T15:00,3.3,55,0.1,0.00,3,3.1,332.0,1
2024-01-14T16:00,3.8,52,0.3,0.00,8,4.4,266.0,1
2024-01-14T17:00,1.7,63,-1.8,0.00,56,5.4,157.0,1
2024-01-14T18:00,-1.1,79,-4.9,0.00,64,7.7,29.0,0
2024-01-14T19:00,0.3,79,-3.0,0.00,61,5.6,0.0,0
2024-01-14T20:00,0.2,79,-3.2,0.00,60,6.4,0.0,0
2024-01-14T21:00,1.2,68,-2.5,0.00,83,6.6,0.0,0
2024-01-14T22:00,2.6,53,-1.9,0.00,69,11.3,0.0,0
2024-01-14T23:00,2.0,63,-2.4,0.20,100,11.9,0.0,0
2024-01-15T00:00,0.8,77,-2.9,0.30,100,8.1,0.0,0
2024-01-15T01:00,-0.2,86,-3.6,0.40,100,6.4,0.0,0
2024-01-15T02:00,-0.9,94,-3.9,0.40,100,4.5,0.0,0
2024-01-15T03:00,1.1,88,-2.1,0.20,100,6.8,0.0,0
2024-01-15T04:00,0.6,89,-3.2,0.10,100,10.1,0.0,0
2024-01-15T05:00,-0.8,93,-4.5,0.00,100,8.7,0.0,0
2024-01-15T06:00,-0.8,91,-4.5,0.00,100,8.7,0.0,0
2024-01-15T07:00,-0.6,85,-4.4,0.00,100,8.4,0.0,0
2024-01-15T08:00,-0.7,82,-4.6,0.10,100,9.0,0.0,0
2024-01-15T09:00,-0.8,80,-4.7,0.10,100,8.4,0.0,0
2024-01-15T10:00,-0.7,78,-4.4,0.00,96,7.2,4.0,1
2024-01-15T11:00,-0.0,74,-3.6,0.00,90,6.5,37.0,1
2024-01-15T12:00,0.7,71,-3.8,0.00,90,12.6,68.0,1
2024-01-15T13:00,1.9,66,-3.1,0.00,95,16.2,144.0,1
2024-01-15T14:00,3.0,55,-2.5,0.00,50,18.4,220.0,1
2024-01-15T15:00,3.2,53,-1.6,0.00,100,13.5,130.0,1
2024-01-15T16:00,3.4,50,-1.6,0.00,17,14.0,118.0,1
2024-01-15T17:00,2.4,53,-2.4,0.00,20,13.2,155.0,1
2024-01-15T18:00,-0.3,74,-4.2,0.00,30,7.7,39.0,1
2024-01-15T19:00,-1.2,84,-4.9,0.00,68,7.2,0.0,0
2024-01-15T20:00,-1.1,87,-4.9,0.00,55,8.7,0.0,0
2024-01-15T21:00,-1.3,89,-5.2,0.00,44,9.2,0.0,0
2024-01-15T22:00,-2.0,90,-5.7,0.00,26,8.0,0.0,0
2024-01-15T23:00,-2.6,92,-6.4,0.00,2,8.0,0.0,0
2024-01-16T00:00,-3.8,93,-7.4,0.00,1,5.9,0.0,0
2024-01-16T01:00,-4.4,89,-8.1,0.00,26,5.6,0.0,0
